time_utc,event,letter
1445585266.508191,start,a
1445585271.161074,end,a
1445585848.103712,draw_example,small_l
1445586323.08681,init,0
1445586323.11038,show_gif,small_l
1445586327.302717,sketchpad_mouseUp,small_l
1445586327.367672,PASS,small_l
1445586333.139507,show_gif,small_k
1445586335.522358,sketchpad_mouseUp,small_k
1445586337.09431,sketchpad_mouseUp,small_k
1445586341.11212,wiped,small_k
1445586344.94467,sketchpad_mouseUp,small_k
1445586348.121694,sketchpad_mouseUp,small_k
1445586348.132939,PASS,small_k
1445586386.894538,show_gif,small_v
1445586390.043808,sketchpad_mouseUp,small_v
1445586394.091463,wiped,small_v
1445586397.625332,sketchpad_mouseUp,small_v
1445586399.523859,sketchpad_mouseUp,small_v
1445586400.230269,sketchpad_mouseUp,small_v
1445586400.87148,clearCanvas,small_v
1445586405.052681,sketchpad_mouseUp,small_v
1445586405.074667,PASS,small_v
1445586406.793896,show_gif,small_w
1445586413.039305,sketchpad_mouseUp,small_w
1445586413.061549,PASS,small_w
1445586414.936673,show_gif,small_y
1445586417.703668,sketchpad_mouseUp,small_y
1445586421.106885,sketchpad_mouseUp,small_y
1445586425.122404,wiped,small_y
1445586427.47522,sketchpad_mouseUp,small_y
1445586430.893795,sketchpad_mouseUp,small_y
1445586430.912054,PASS,small_y
1445586432.418903,show_gif,small_x
1445586435.266449,sketchpad_mouseUp,small_x
1445586436.979575,sketchpad_mouseUp,small_x
1445586438.929671,sketchpad_mouseUp,small_x
1445586439.602699,clearCanvas,small_x
1445586443.811884,sketchpad_mouseUp,small_x
1445586446.537279,sketchpad_mouseUp,small_x
1445586449.693605,clearCanvas,small_x
1445586453.595831,sketchpad_mouseUp,small_x
1445586456.514678,sketchpad_mouseUp,small_x
1445586456.539167,PASS,small_x
1445586458.161167,show_gif,small_z
1445586465.353456,sketchpad_mouseUp,small_z
1445586465.355026,PASS,small_z
1445586468.382531,show_gif,small_h
1445586479.83581,sketchpad_mouseUp,small_h
1445586479.838728,PASS,small_h
1445586542.008761,show_gif,small_h
1445586549.872053,show_gif,small_n
1445586556.43097,sketchpad_mouseUp,small_n
1445586559.494875,sketchpad_mouseUp,small_n
1445586561.963635,sketchpad_mouseUp,small_n
1445586561.985835,PASS,small_n
1445586565.004198,show_gif,small_m
1445586579.972556,sketchpad_mouseUp,small_m
1445586579.992361,PASS,small_m
1445586581.753086,show_gif,small_r
1445586588.575981,sketchpad_mouseUp,small_r
1445586588.598947,PASS,small_r
1445586590.618806,show_gif,small_o
1445586598.160442,sketchpad_mouseUp,small_o
1445586598.207635,PASS,small_o
1445586602.922079,show_gif,small_c
1445586610.005573,sketchpad_mouseUp,small_c
1445586610.01747,PASS,small_c
1445586611.777329,show_gif,small_a
1445586618.6451,sketchpad_mouseUp,small_a
1445586618.667097,PASS,small_a
1445586621.404897,show_gif,small_p
1445586628.545741,sketchpad_mouseUp,small_p
1445586628.555426,PASS,small_p
1445586630.948733,show_gif,small_b
1445586640.660675,sketchpad_mouseUp,small_b
1445586640.676389,PASS,small_b
1445586642.749496,show_gif,small_e
1445586649.980955,sketchpad_mouseUp,small_e
1445586649.986579,PASS,small_e
1445586651.737378,show_gif,small_d
1445586661.104669,sketchpad_mouseUp,small_d
1445586661.14,PASS,small_d
1445586673.731485,show_gif,small_f
1445586685.394816,sketchpad_mouseUp,small_f
1445586687.90934,sketchpad_mouseUp,small_f
1445586687.921488,PASS,small_f
1445586692.548905,show_gif,small_t
1445586704.411419,sketchpad_mouseUp,small_t
1445586706.879149,sketchpad_mouseUp,small_t
1445586706.932873,PASS,small_t
1445586712.182898,show_gif,small_i
1445586720.924461,sketchpad_mouseUp,small_i
1445586722.591174,sketchpad_mouseUp,small_i
1445586725.301173,clearCanvas,small_i
1445586729.37076,sketchpad_mouseUp,small_i
1445586732.09442,sketchpad_mouseUp,small_i
1445586734.154121,clearCanvas,small_i
1445586737.725851,sketchpad_mouseUp,small_i
1445586739.933262,sketchpad_mouseUp,small_i
1445586739.940126,PASS,small_i
1445586745.763172,show_gif,small_j
1445586750.189962,sketchpad_mouseUp,small_j
1445586750.531957,sketchpad_mouseUp,small_j
1445586753.774305,sketchpad_mouseUp,small_j
1445586755.750766,sketchpad_mouseUp,small_j
1445586755.772243,PASS,small_j
1445586762.267791,show_gif,small_g
1445586772.098211,sketchpad_mouseUp,small_g
1445586772.100067,PASS,small_g
1445586777.068007,show_gif,small_q
1445586787.744723,sketchpad_mouseUp,small_q
1445586787.750739,PASS,small_q
1445586791.604928,show_gif,small_u
1445586799.188077,sketchpad_mouseUp,small_u
1445586799.201275,PASS,small_u
1445586803.333332,show_gif,small_s
1445586813.095448,sketchpad_mouseUp,small_s
1445586813.110022,PASS,small_s
1445586818.170235,show_gif,0
1445586824.379657,sketchpad_mouseUp,0
1445586828.380186,wiped,0
1445586836.532262,sketchpad_mouseUp,0
1445586840.556114,wiped,0
1445586852.89066,sketchpad_mouseUp,0
1445586852.903447,PASS,0
1445586858.028679,show_gif,1
1445586864.225453,sketchpad_mouseUp,1
1445586866.218643,clearCanvas,1
1445586869.219145,sketchpad_mouseUp,1
1445586869.232126,PASS,1
1445586873.226305,show_gif,2
1445586882.993726,sketchpad_mouseUp,2
1445586883.04243,PASS,2
1445586887.410243,show_gif,3
1445586898.149316,sketchpad_mouseUp,3
1445586898.19707,PASS,3
1445586903.095841,show_gif,4
1445586916.253622,sketchpad_mouseUp,4
1445586916.272679,PASS,4
1445586921.149144,show_gif,5
1445586933.592347,sketchpad_mouseUp,5
1445586933.644597,PASS,5
1445586937.604891,show_gif,6
1445586948.384932,sketchpad_mouseUp,6
1445586948.392497,PASS,6
1445586952.310363,show_gif,7
1445586959.156995,sketchpad_mouseUp,7
1445586959.165017,PASS,7
1445586964.872577,show_gif,8
1445586977.550486,sketchpad_mouseUp,8
1445586977.559476,PASS,8
1445586981.217385,show_gif,9
1445586991.510484,sketchpad_mouseUp,9
1445586991.520635,PASS,9
